gene,log2_fold-change,SE,pvalue,padj
0610009O20Rik,0.769855927,0.027392213,8.5298E-174,9.698E-173
Pttg1ip,0.767313333,0.020754729,3.4085E-299,7.1963E-298
Wwtr1,0.767217813,0.027539531,8.4312E-171,9.4148E-170
Diablo,0.765715079,0.025089871,1.4634E-204,1.9566E-203
Spon1,0.762284105,0.021003612,2.0863E-288,4.1904E-287
Ctdsp2,0.7613658,0.029210792,9.206E-150,8.9771E-149
Acad8,0.756955737,0.019836308,0,0
Hdac1,0.756324273,0.02399764,5.1442E-218,7.3837E-217
Ybx1,0.756296739,0.021753732,7.8618E-265,1.4147E-263
Me1,0.75621696,0.021490529,3.0105E-271,5.5494E-270
Hadha,0.752720213,0.022101523,3.1549E-254,5.3838E-253
Fuca1,0.748697972,0.02244816,6.7441E-244,1.0817E-242
Tmtc4,0.748225924,0.02178973,2.0936E-258,3.6692E-257
Cdkn1b,0.744950057,0.019912497,2.571E-306,5.6584E-305
Rai2,0.740652303,0.026406561,4.2205E-173,4.7835E-172
Btg1,0.740492632,0.022846973,1.9227E-230,2.919E-229
Ascc2,0.738784911,0.028546742,1.1234E-147,1.0804E-146
Ptprr,0.738425372,0.022006471,7.6317E-247,1.2517E-245
D2hgdh,0.73554552,0.026813412,1.1393E-165,1.2211E-164
Ncoa3,0.734468219,0.027303652,2.1962E-159,2.2813E-158
Acadm,0.731352214,0.024368677,6.8478E-198,8.837E-197
Stx3,0.729359097,0.021627847,2.6471E-249,4.4095E-248
Tspan31,0.718206931,0.027015192,1.0041E-155,1.0197E-154
Tbcel,0.717914833,0.019686749,3.7125E-291,7.557E-290
Chsy1,0.717801512,0.022946412,8.2919E-215,1.168E-213
Pex2,0.716137443,0.025764514,4.9171E-170,5.4638E-169
Nfia,0.712241633,0.024448919,1.4196E-186,1.7358E-185
Vamp3,0.711963943,0.021872095,2.0105E-232,3.078E-231
Phyh,0.71140827,0.022563517,3.4644E-218,4.9844E-217
Abhd4,0.704579207,0.024869496,1.4326E-176,1.6578E-175
Hbp1,0.697774311,0.026003851,1.3143E-158,1.3582E-157
Oxnad1,0.697679904,0.021972629,2.9583E-221,4.304E-220
Hibadh,0.688951649,0.025195107,1.2499E-164,1.3326E-163
Ehd4,0.683367212,0.021108785,6.4606E-230,9.7918E-229
Xpnpep1,0.679239711,0.019376756,3.3466E-269,6.107E-268
Patj,0.67431151,0.025449127,1.065E-154,1.0719E-153
Slc44a2,0.671910863,0.023850262,1.2867E-174,1.4694E-173
Clmp,0.671536299,0.022524514,2.6054E-195,3.3244E-194
Bnip2,0.671320151,0.025645363,4.8503E-151,4.7552E-150
Snx5,0.670214852,0.019174282,1.132E-267,2.0512E-266
Pck2,0.668243775,0.024988888,1.5448E-157,1.5829E-156
Ift122,0.66489615,0.019657981,8.9894E-251,1.5099E-249
Aifm2,0.664197004,0.025042261,5.2568E-155,5.3056E-154
Atp11a,0.663064717,0.023990666,3.8426E-168,4.2081E-167
Pygb,0.662268899,0.01939354,1.3863E-255,2.3791E-254
Irak1,0.659279188,0.018099894,1.7447E-290,3.5395E-289
Ldhb,0.659198338,0.024640662,1.156E-157,1.1859E-156
Sesn1,0.657673563,0.018144247,1.1101E-287,2.2125E-286
Tln1,0.653550455,0.020736946,5.2056E-218,7.4658E-217
Csad,0.653234261,0.02519793,3.561E-148,3.4428E-147
Tor1aip1,0.651990657,0.018219536,1.8732E-280,3.6183E-279
Dusp16,0.651778285,0.02266823,8.3222E-182,9.9151E-181
Sipa1l2,0.649230271,0.023185427,1.5512E-172,1.7527E-171
Lix1l,0.644895908,0.022290215,4.7559E-184,5.7492E-183
Pcbp3,0.640996277,0.023221301,1.0016E-167,1.0942E-166
Gprc5b,0.634917683,0.020401084,1.223E-212,1.7068E-211
Plxnb2,0.634542532,0.023932397,6.6917E-155,6.7501E-154
Ubxn8,0.632270134,0.023494819,1.6309E-159,1.696E-158
Sec61a1,0.624774532,0.024134646,9.32E-148,8.9678E-147
Vwa8,0.622284676,0.021735334,2.8368E-180,3.3555E-179
Snx6,0.620472081,0.022382349,3.8462E-169,4.2478E-168
Fkbp9,0.619583299,0.022037541,6.4405E-174,7.3317E-173
Adgra3,0.613939223,0.021257241,2.0437E-183,2.451E-182
Calu,0.596346405,0.020890436,3.1148E-179,3.6582E-178
Atrnl1,0.593262155,0.022003499,4.1066E-160,4.2927E-159
Rfc1,0.590456139,0.021668616,1.6907E-163,1.7941E-162
Hmgn1,0.578489096,0.018317408,6.6518E-219,9.6008E-218
Csnk1a1,0.574403249,0.01815288,9.6043E-220,1.3917E-218
H3f3b,0.573555276,0.018764628,3.4907E-205,4.6879E-204
Surf4,0.571138091,0.01875291,9.9853E-204,1.3272E-202
Dstn,0.570422698,0.020503065,2.3945E-170,2.6673E-169
Nek9,0.566076858,0.020375369,7.0768E-170,7.8493E-169
BC005537,0.554218441,0.0175211,1.3631E-219,1.9736E-218
Inpp5b,0.552900747,0.019938138,2.9692E-169,3.2813E-168
Nsmce3,0.551795119,0.020192127,2.0136E-164,2.1455E-163
Nfkb1,0.540476754,0.02017,3.5906E-158,3.6958E-157
